%    µm         	nN
   7.662	  -0.263
   7.654	  -0.279
   7.647	  -0.226
   7.639	  -0.241
   7.631	  -0.215
   7.623	  -0.207
   7.616	  -0.191
   7.608	  -0.186
   7.600	  -0.169
   7.593	  -0.157
   7.585	  -0.173
   7.577	  -0.164
   7.569	  -0.155
   7.561	  -0.149
   7.554	  -0.141
   7.546	  -0.135
   7.538	  -0.129
   7.530	  -0.123
   7.522	  -0.118
   7.515	  -0.114
   7.507	  -0.110
   7.499	  -0.105
   7.491	  -0.101
   7.484	  -0.097
   7.476	  -0.093
   7.468	  -0.090
   7.460	  -0.087
   7.452	  -0.084
   7.445	  -0.082
   7.437	  -0.079
   7.429	  -0.077
   7.421	  -0.075
   7.413	  -0.073
   7.405	  -0.072
   7.398	  -0.070
   7.390	  -0.068
   7.382	  -0.067
   7.374	  -0.065
   7.366	  -0.064
   7.359	  -0.062
   7.351	  -0.061
   7.343	  -0.060
   7.335	  -0.058
   7.327	  -0.057
   7.319	  -0.056
   7.312	  -0.055
   7.304	  -0.054
   7.296	  -0.053
   7.288	  -0.052
   7.280	  -0.051
   7.273	  -0.050
   7.265	  -0.049
   7.257	  -0.048
   7.249	  -0.047
   7.241	  -0.047
   7.233	  -0.046
   7.226	  -0.045
   7.218	  -0.044
   7.210	  -0.044
   7.202	  -0.043
   7.194	  -0.043
   7.186	  -0.042
   7.179	  -0.042
   7.171	  -0.041
   7.163	  -0.041
   7.155	  -0.040
   7.147	  -0.040
   7.140	  -0.039
   7.132	  -0.039
   7.124	  -0.038
   7.116	  -0.038
   7.108	  -0.038
   7.100	  -0.037
   7.093	  -0.037
   7.085	  -0.037
   7.077	  -0.037
   7.069	  -0.037
   7.061	  -0.037
   7.053	  -0.036
   7.046	  -0.036
   7.038	  -0.036
   7.030	  -0.036
   7.022	  -0.035
   7.014	  -0.035
   7.006	  -0.035
   6.999	  -0.034
   6.991	  -0.034
   6.983	  -0.034
   6.975	  -0.033
   6.967	  -0.033
   6.959	  -0.032
   6.952	  -0.032
   6.944	  -0.031
   6.936	  -0.031
   6.928	  -0.030
   6.920	  -0.029
   6.913	  -0.028
   6.905	  -0.028
   6.897	  -0.027
   6.889	  -0.026
   6.881	  -0.026
   6.873	  -0.025
   6.866	  -0.024
   6.858	  -0.024
   6.850	  -0.023
   6.842	  -0.022
   6.834	  -0.021
   6.826	  -0.021
   6.819	  -0.020
   6.811	  -0.020
   6.803	  -0.019
   6.795	  -0.019
   6.787	  -0.018
   6.779	  -0.018
   6.772	  -0.017
   6.764	  -0.017
   6.756	  -0.017
   6.748	  -0.016
   6.740	  -0.016
   6.733	  -0.016
   6.725	  -0.015
   6.717	  -0.015
   6.709	  -0.014
   6.701	  -0.014
   6.693	  -0.014
   6.686	  -0.013
   6.678	  -0.013
   6.670	  -0.013
   6.662	  -0.012
   6.654	  -0.012
   6.646	  -0.011
   6.639	  -0.011
   6.631	  -0.010
   6.623	  -0.010
   6.615	  -0.009
   6.607	  -0.009
   6.599	  -0.009
   6.592	  -0.008
   6.584	  -0.008
   6.576	  -0.007
   6.568	  -0.007
   6.560	  -0.006
   6.552	  -0.006
   6.545	  -0.005
   6.537	  -0.005
   6.529	  -0.004
   6.521	  -0.004
   6.513	  -0.003
   6.506	  -0.002
   6.498	  -0.002
   6.490	  -0.002
   6.482	  -0.001
   6.474	  -0.001
   6.466	  -0.000
